City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.76,99,100,7.88,TF,1707273361
1,mokhsogollokh,61.4681,128.9203,-24.05,95,100,0.65,RU,1707273361
2,saipan,15.1355,145.701,29.39,54,75,5.66,MP,1707273361
3,iwanai,42.9744,140.5089,0.08,66,99,3.01,JP,1707273361
4,niafunke,15.9322,-3.9906,19.25,14,0,5.12,ML,1707273361
5,grytviken,-54.2811,-36.5092,8.86,58,19,2.37,GS,1707273361
6,las khorey,11.1595,48.1967,24.45,80,5,3.03,SO,1707273361
7,tacna,-18.0056,-70.2483,22.11,73,0,3.09,PE,1707273361
8,tarauaca,-8.1614,-70.7656,22.84,99,21,1.03,BR,1707273361
9,surskoye,54.4821,46.7214,-16.88,90,13,5.05,RU,1707273362
10,bilibino,68.0546,166.4372,-33.7,100,100,0.77,RU,1707273151
11,puerto natales,-51.7236,-72.4875,11.13,78,80,3.04,CL,1707273307
12,guaraniacu,-25.1008,-52.8781,18.02,92,84,0.61,BR,1707273362
13,albany,42.6001,-73.9662,-1.32,70,11,0.45,US,1707273362
14,georgetown,5.4112,100.3354,30.96,72,20,3.6,MY,1707273362
15,stanley,54.868,-1.6985,0.99,85,0,1.54,GB,1707273362
16,zest'aponi,42.11,43.0525,8.06,89,98,2.89,GE,1707273362
17,molde,62.7375,7.1591,-9.09,92,20,3.09,NO,1707273362
18,nelson bay,-32.7167,152.15,20.06,98,100,3.58,AU,1707273363
19,udachny,66.4167,112.4,-29.2,74,98,1.89,RU,1707273306
20,wynyard,-41.0,145.7167,22.18,37,2,3.27,AU,1707273363
21,kingston,17.997,-76.7936,24.53,69,20,4.63,JM,1707273153
22,tianpeng,30.9866,103.9393,6.26,83,100,1.32,CN,1707273363
23,badger,64.8,-147.5333,-15.36,82,75,2.06,US,1707273363
24,longyearbyen,78.2186,15.6401,-9.09,62,75,8.23,SJ,1707273363
25,college,64.8569,-147.8028,-15.31,79,75,2.06,US,1707273363
26,brokopondo,4.75,-55.1667,24.45,93,84,3.28,SR,1707273363
27,prokhladnyy,43.7574,44.0297,6.43,79,100,2.77,RU,1707273364
28,hamilton,39.1834,-84.5333,4.43,76,0,3.6,US,1707273364
29,keflavik,64.0049,-22.5624,-1.05,80,75,10.8,IS,1707273364
30,antsiranana,-12.2787,49.2917,23.91,92,100,0.45,MG,1707273364
31,bethel,41.3712,-73.414,0.27,70,0,1.54,US,1707273364
32,puerto deseado,-47.7503,-65.8938,18.52,55,100,11.21,AR,1707273364
